ProductA,ProductB,PairFrequency
"LL Road Frame - Red, 48","Road-650 Black, 58",225
"Road-450 Red, 44","Road-650 Black, 60",129
"Road-650 Red, 62","Road-650 Black, 62",182
"LL Road Frame - Black, 44","Road-650 Red, 62",44
"Road-150 Red, 52","Road-450 Red, 58",58
"LL Road Frame - Black, 44","Road-650 Red, 58",12
"Road-550-W Yellow, 48","Short-Sleeve Classic Jersey, M",8
Water Bottle - 30 oz.,HL Mountain Tire,46
"LL Touring Frame - Blue, 58","Touring-3000 Yellow, 58",2
"Long-Sleeve Logo Jersey, S","Road-250 Black, 52",1
"Classic Vest, L",Touring Tire,1
LL Road Handlebars,"Short-Sleeve Classic Jersey, S",16
Hitch Rack - 4-Bike,"Touring-3000 Yellow, 54",71
"HL Touring Frame - Blue, 46","Touring-3000 Blue, 58",36
"Classic Vest, M","LL Touring Frame - Yellow, 62",47
"HL Touring Frame - Blue, 50","LL Touring Frame - Blue, 54",38
"LL Touring Frame - Blue, 54",Rear Brakes,6
"Classic Vest, M","Road-750 Black, 52",112
LL Road Pedal,"Road-750 Black, 48",246
"Mountain-200 Silver, 38",HL Crankset,96
"Sport-100 Helmet, Red",Patch Kit/8 Patches,132
"Short-Sleeve Classic Jersey, L",LL Crankset,66
"Short-Sleeve Classic Jersey, S","Mountain-500 Silver, 52",64
"HL Road Frame - Black, 48","Women's Tights, M",8
"Women's Mountain Shorts, S","ML Mountain Frame-W - Silver, 40",208
"Mountain-400-W Silver, 40","Mountain-500 Black, 52",82
"Sport-100 Helmet, Blue","LL Mountain Frame - Silver, 40",64
"Mountain-200 Black, 38","ML Mountain Frame-W - Silver, 42",178
Bike Wash - Dissolver,Chain,97
"Road-250 Red, 48","Road-550-W Yellow, 48",182
"LL Road Frame - Red, 62","ML Road Frame-W - Yellow, 40",36
"Road-250 Red, 44","Road-250 Black, 48",180
"Road-650 Black, 52","Road-250 Black, 48",176
"Mountain-300 Black, 48",LL Headset,35
HL Headset,"Men's Bib-Shorts, L",48
"Mountain-200 Silver, 38","Mountain-300 Black, 40",193
"Long-Sleeve Logo Jersey, XL","Mountain-200 Silver, 46",151
"Sport-100 Helmet, Black",LL Mountain Front Wheel,123
"Sport-100 Helmet, Blue","ML Road Frame-W - Yellow, 44",273
"Road-250 Black, 44","Road-550-W Yellow, 38",377
"LL Road Frame - Red, 52","HL Road Frame - Black, 44",29
"LL Road Frame - Red, 44","Road-650 Red, 52",265
"Road-650 Black, 58","Road-650 Black, 60",319
ML Mountain Front Wheel,HL Mountain Rear Wheel,94
"Men's Sports Shorts, M","Men's Bib-Shorts, M",263
"Road-650 Black, 58","Road-250 Black, 44",191
ML Road Front Wheel,LL Road Rear Wheel,160
ML Road Tire,"Road-350-W Yellow, 44",52
Road Bottle Cage,Patch Kit/8 Patches,46
Fender Set - Mountain,All-Purpose Bike Stand,24
"Racing Socks, L","Touring-1000 Yellow, 50",5
"Sport-100 Helmet, Red",HL Touring Handlebars,33
"HL Touring Frame - Yellow, 50","Touring-3000 Blue, 54",25
LL Mountain Pedal,"LL Mountain Frame - Black, 40",4
"Long-Sleeve Logo Jersey, M","Touring-1000 Blue, 54",31
"Road-550-W Yellow, 44","Half-Finger Gloves, L",10
"Classic Vest, L","Women's Mountain Shorts, M",2
"HL Road Frame - Black, 44","Short-Sleeve Classic Jersey, L",39
"Short-Sleeve Classic Jersey, XL","Road-750 Black, 58",104
"Road-250 Black, 58","Road-750 Black, 44",93
"Touring-2000 Blue, 60","Touring-1000 Blue, 46",202
"Touring-1000 Blue, 50","Touring-1000 Blue, 54",85
"Sport-100 Helmet, Blue",HL Touring Handlebars,33
ML Mountain Pedal,"Mountain-500 Silver, 40",112
"Mountain-200 Silver, 38","ML Mountain Frame-W - Silver, 42",180
"Touring-1000 Yellow, 60","Touring-3000 Yellow, 58",88
"Touring-1000 Yellow, 54","Touring-1000 Blue, 60",92
"LL Mountain Frame - Black, 44","Mountain-500 Silver, 52",148
"Mountain-200 Silver, 38",Front Derailleur,93
"Road-250 Red, 48","Road-250 Black, 52",148
"HL Mountain Frame - Silver, 38","ML Mountain Frame - Black, 40",28
"HL Road Frame - Red, 62","Men's Sports Shorts, M",51
"HL Road Frame - Black, 44","Women's Tights, L",51
"HL Mountain Frame - Silver, 46",HL Headset,94
"Road-250 Black, 58",HL Road Rear Wheel,14
"Mountain-100 Black, 38","Mountain-100 Black, 42",131
"LL Road Frame - Red, 48","Road-450 Red, 60",83
"HL Road Frame - Red, 44","LL Road Frame - Black, 58",143
"HL Mountain Frame - Silver, 38","Men's Bib-Shorts, S",87
"Road-650 Red, 44","Road-250 Red, 48",174
"Road-550-W Yellow, 48",LL Road Handlebars,59
"Mountain-200 Silver, 46","Classic Vest, L",4
"HL Touring Frame - Blue, 50","Touring-1000 Blue, 46",45
"HL Touring Frame - Yellow, 54","LL Touring Frame - Blue, 54",69
"LL Touring Frame - Yellow, 62",HL Bottom Bracket,28
"Mountain-500 Black, 42",LL Bottom Bracket,35
"LL Mountain Frame - Silver, 42","LL Mountain Frame - Black, 40",3
"Racing Socks, M",ML Road Tire,9
"Long-Sleeve Logo Jersey, L","HL Touring Frame - Blue, 54",59
"LL Touring Frame - Yellow, 62","HL Touring Frame - Blue, 60",105
ML Mountain Seat/Saddle,"LL Mountain Frame - Black, 40",4
"Women's Mountain Shorts, S",LL Crankset,86
"LL Mountain Frame - Black, 40","Mountain-500 Silver, 42",4
"HL Touring Frame - Yellow, 46","Touring-1000 Blue, 46",25
"HL Road Frame - Red, 44",LL Road Pedal,69
"Long-Sleeve Logo Jersey, XL","Touring-1000 Yellow, 50",49
HL Touring Seat/Saddle,"Touring-3000 Yellow, 54",115
"Long-Sleeve Logo Jersey, M","Touring-3000 Blue, 58",53
"HL Touring Frame - Blue, 60","Touring-1000 Yellow, 46",104
"LL Touring Frame - Blue, 50",HL Touring Handlebars,58
